"DisplayName","UserPrincipalName","Department","JobTitle","EmployeeId","CreatedDateTime"
"Aline Teixeira","aline.teixeira@fiqueok.com.br","Technology - DevOps","Automation Specialist","FP018","3/1/2026 10:01:07 PM"
"Amanda Freitas","amanda.freitas@fiqueok.com.br","Operations","Settlement Analyst","FP029","3/1/2026 10:01:13 PM"
"Amanda Prado","amanda.prado@fiqueok.com.br","Technology - DevOps","DevOps Specialist","FP073","3/1/2026 10:01:34 PM"
"Ana Paula","ana.paula@fiqueok.com.br","Commercial & CS","Customer Success Analyst","FP049","3/1/2026 10:01:23 PM"
"Anderson Peixoto","anderson.peixoto@fiqueok.com.br","HR & Finance","Payroll Specialist","FP060","3/1/2026 10:01:28 PM"
"Andre Chaves","andre.chaves@fiqueok.com.br","Executive","Chairman","FP002","3/1/2026 10:00:59 PM"
"Andre Costa","andre.costa@fiqueok.com.br","Technology - Dev","Full Stack Developer","FP014","3/1/2026 10:01:05 PM"
"Andreia Abreu","andreia.abreu@fiqueok.com.br","Commercial & CS","Sales Operations Analyst","FP086","3/1/2026 10:01:40 PM"
"Arthur Henrique","arthur.henrique@fiqueok.com.br","Commercial & CS","Customer Experience Designer","FP078","3/1/2026 10:01:36 PM"
"Beatriz Moreira","beatriz.moreira@fiqueok.com.br","HR & Finance","Compensation Analyst","FP079","3/1/2026 10:01:36 PM"
"Beatriz Ramos","beatriz.ramos@fiqueok.com.br","Technology - Security","Information Security Analyst","FP021","3/1/2026 10:01:08 PM"
"Camila Freire","camila.freire@fiqueok.com.br","Operations","Settlement Officer","FP092","3/1/2026 10:01:42 PM"
"Carla Araijo","carla.araujo@fiqueok.com.br","Fraud & Compliance","Fraud Analyst","FP038","3/1/2026 10:01:17 PM"
"Carla Ribeiro","carla.ribeiro@fiqueok.com.br","Technology - Data","Machine Learning Engineer","FP075","3/1/2026 10:01:34 PM"
"Carlos Eduardo","carlos.eduardo@fiqueok.com.br","Commercial & CS","Inside Sales Executive","FP050","3/1/2026 10:01:23 PM"
"Carlos Rezende","carlos.rezende@fiqueok.com.br","Operations","Settlement Officer","FP028","3/1/2026 10:01:12 PM"
"Caroline Mendes","caroline.mendes@fiqueok.com.br","HR & Finance","Accounting Coordinator","FP061","3/1/2026 10:01:28 PM"
"Cassio Borges","cassio.borges@fiqueok.com.br","Commercial & CS","Account Executive","FP070","3/1/2026 10:01:32 PM"
"Cristina Alvarenga","cristina.alvarenga@fiqueok.com.br","Technology - Security","Security Compliance Lead","FP082","3/1/2026 10:01:38 PM"
"Daniel Coelho","daniel.coelho@fiqueok.com.br","Operations","Chargeback Specialist","FP036","3/1/2026 10:01:16 PM"
"Daniela Binatti","daniela.binatti@fiqueok.com.br","Executive","CTO","FP004","3/1/2026 10:01:00 PM"
"Daniela Rocha","daniela.rocha@fiqueok.com.br","Operations","Chargeback Coordinator","FP032","3/1/2026 10:01:14 PM"
"Danilo Assis","danilo.assis@fiqueok.com.br","Technology - Security","Security Analyst","FP066","3/1/2026 10:01:30 PM"
"David Velez","david.velez@fiqueok.com.br","Executive","CEO","FP001","3/1/2026 10:00:03 PM"
"Debora Menezes","debora.menezes@fiqueok.com.br","Fraud & Compliance","Compliance Coordinator","FP046","3/1/2026 10:01:21 PM"
"Diego Pinto","diego.pinto@fiqueok.com.br","Technology - Security","Security Engineer","FP019","3/1/2026 10:01:07 PM"
"Donner Marcos","donner.marcos@fiqueok.com.br","Executive","CSO","FP007","3/1/2026 10:01:01 PM"
"Eduarda Branḍo","eduarda.brandao@fiqueok.com.br","Fraud & Compliance","Fraud Prevention Analyst","FP069","3/1/2026 10:01:32 PM"
