EmployeeID,FirstName,LastName,DisplayName,UserPrincipalName,JobTitle,Department,Salary
"FP001","David","Velez","David Velez","david.velez@fiqueok.com.br","CEO","Executive","48000.00"
"FP002","Andre","Chaves","Andre Chaves","andre.chaves@fiqueok.com.br","Chairman","Executive","42000.00"
"FP003","Luisa","Sotero","Luisa Sotero","luisa.sotero@fiqueok.com.br","COO","Executive","39000.00"
"FP004","Daniela","Binatti","Daniela Binatti","daniela.binatti@fiqueok.com.br","CTO","Executive","44000.00"
"FP005","Ricardo","Guerra","Ricardo Guerra","ricardo.guerra@fiqueok.com.br","CIO","Executive","41000.00"
"FP006","Laszlo","Bock","Laszlo Bock","laszlo.bock@fiqueok.com.br","CHRO","Executive","38000.00"
"FP007","Donner","Marcos","Donner Marcos","donner.marcos@fiqueok.com.br","CSO","Executive","43000.00"
"FP008","Lucas","Carvalho","Lucas Carvalho","lucas.carvalho@fiqueok.com.br","Senior Software Engineer","Technology - Dev","18000.00"
"FP009","Juliana","Lima","Juliana Lima","juliana.lima@fiqueok.com.br","Software Engineer","Technology - Dev","15000.00"
"FP010","Gabriel","Martins","Gabriel Martins","gabriel.martins@fiqueok.com.br","Junior Developer","Technology - Dev","9000.00"
"FP011","Patricia","Silva","Patricia Silva","patricia.silva@fiqueok.com.br","Backend Engineer","Technology - Dev","16500.00"
"FP012","Felipe","Barbosa","Felipe Barbosa","felipe.barbosa@fiqueok.com.br","Frontend Developer","Technology - Dev","14000.00"
"FP013","Renata","Azevedo","Renata Azevedo","renata.azevedo@fiqueok.com.br","Mobile Developer","Technology - Dev","15500.00"
"FP014","Andre","Costa","Andre Costa","andre.costa@fiqueok.com.br","Full Stack Developer","Technology - Dev","17500.00"
"FP015","Tatiane","Nunes","Tatiane Nunes","tatiane.nunes@fiqueok.com.br","DevOps Engineer","Technology - DevOps","18000.00"
"FP016","Eduardo","Ribeiro","Eduardo Ribeiro","eduardo.ribeiro@fiqueok.com.br","Cloud Engineer","Technology - DevOps","17000.00"
"FP017","Leonardo","Moreira","Leonardo Moreira","leonardo.moreira@fiqueok.com.br","Site Reliability Engineer","Technology - DevOps","19000.00"
"FP018","Aline","Teixeira","Aline Teixeira","aline.teixeira@fiqueok.com.br","Automation Specialist","Technology - DevOps","16000.00"
"FP019","Diego","Pinto","Diego Pinto","diego.pinto@fiqueok.com.br","Security Engineer","Technology - Security","18500.00"
